PlayerName,Year,Stage,STG,GC,PC,KOM,SPR,SUM,BKY,ASS,Total
Alejandro Valverde,2014,Stage 17,30,22,-,-,-,-,-,6,58,
Alejandro Valverde,2014,Stage 18,30,18,-,-,-,-,-,2,50,
Alejandro Valverde,2014,Stage 19,-,18,-,-,-,-,-,2,20,
Alejandro Valverde,2014,Stage 20,-,18,-,-,-,-,-,-,18,
Alejandro Valverde,2014,Stage 21,-,18,-,-,-,-,-,2,20,
Alejandro Valverde,2014,End-of-Tour,-,300,-,10,-,-,-,20,330,
Alexander Kristoff,2014,Stage 1,60,14,-,-,-,-,-,-,74,
Alexander Kristoff,2014,Stage 2,-,-,-,-,2,-,-,-,2,
Alexander Kristoff,2014,Stage 3,80,-,3,-,-,-,-,-,83,
Alexander Kristoff,2014,Stage 4,120,-,3,-,-,-,-,-,123,
Alexander Kristoff,2014,Stage 5,-,-,3,-,-,-,-,-,3,
Alexander Kristoff,2014,Stage 6,120,-,3,-,-,-,-,-,123,
Alexander Kristoff,2014,Stage 7,-,-,3,-,-,-,-,-,3,
Alexander Kristoff,2014,Stage 8,-,-,3,-,-,-,-,-,3,
Alexander Kristoff,2014,Stage 9,-,-,3,-,-,-,-,-,3,
Alexander Kristoff,2014,Stage 10,-,-,3,-,-,-,-,-,3,
Alexander Kristoff,2014,Stage 11,-,-,3,-,5,-,-,-,8,
Alexander Kristoff,2014,Stage 12,150,-,4,-,-,-,-,-,154,
Alexander Kristoff,2014,Stage 13,-,-,4,-,-,-,-,-,4,
Alexander Kristoff,2014,Stage 14,-,-,4,-,-,-,-,-,4,
Alexander Kristoff,2014,Stage 15,150,-,4,-,-,-,-,-,154,
Alexander Kristoff,2014,Stage 16,-,-,4,-,-,-,-,-,4,
Alexander Kristoff,2014,Stage 17,-,-,4,-,-,-,-,-,4,
Alexander Kristoff,2014,Stage 18,-,-,4,-,-,-,-,-,4,
Alexander Kristoff,2014,Stage 19,100,-,4,-,-,-,-,-,104,
Alexander Kristoff,2014,Stage 20,-,-,4,-,-,-,-,-,4,
Alexander Kristoff,2014,Stage 21,120,-,6,-,-,-,-,-,126,
Alexander Kristoff,2014,End-of-Tour,-,-,80,-,-,-,-,-,80,
Romain Bardet,2014,Stage 1,-,-,-,-,-,-,-,-,0,
Romain Bardet,2014,Stage 2,30,7,-,-,-,-,-,-,37,
Romain Bardet,2014,Stage 3,-,11,-,-,-,-,-,-,11,
Romain Bardet,2014,Stage 4,-,10,-,-,-,-,-,-,10,
Romain Bardet,2014,Stage 5,-,10,-,-,-,-,-,-,10,
Romain Bardet,2014,Stage 6,-,9,-,-,-,-,-,2,11,
Romain Bardet,2014,Stage 7,5,11,-,-,-,-,-,-,16,
Romain Bardet,2014,Stage 8,40,14,-,-,-,-,-,6,60,
Romain Bardet,2014,Stage 9,-,11,-,-,-,-,-,2,13,
Romain Bardet,2014,Stage 10,80,18,-,-,-,2,-,6,106,
Romain Bardet,2014,Stage 11,25,18,-,-,-,-,-,6,49,
Romain Bardet,2014,Stage 12,-,18,-,-,-,-,-,6,24,
Romain Bardet,2014,Stage 13,60,20,-,-,-,4,-,6,90,
Romain Bardet,2014,Stage 14,80,20,-,-,-,2,-,8,110,
Romain Bardet,2014,Stage 15,-,20,-,-,-,-,-,6,26,
Romain Bardet,2014,Stage 16,-,16,-,-,-,-,-,6,22,
Romain Bardet,2014,Stage 17,20,16,-,-,-,-,-,6,42,
Romain Bardet,2014,Stage 18,70,16,-,-,-,6,-,8,100,
Romain Bardet,2014,Stage 19,-,16,-,-,-,-,-,8,24,
Romain Bardet,2014,Stage 20,-,15,-,-,-,-,-,-,15,
Romain Bardet,2014,Stage 21,-,15,-,-,-,-,-,10,25,
Romain Bardet,2014,End-of-Tour,-,220,-,-,-,-,-,40,260,
Tejay Van Garderen,2014,Stage 1,-,-,-,-,-,-,-,-,0,
Tejay Van Garderen,2014,Stage 2,40,12,-,-,-,-,-,8,60,
Tejay Van Garderen,2014,Stage 3,-,10,-,-,-,-,-,2,12,
Tejay Van Garderen,2014,Stage 4,-,9,-,-,-,-,-,2,11,
Tejay Van Garderen,2014,Stage 5,-,9,-,-,-,-,-,2,11,
Tejay Van Garderen,2014,Stage 6,-,10,-,-,-,-,-,2,12,
Tejay Van Garderen,2014,Stage 7,-,3,-,-,-,-,-,-,3,
Tejay Van Garderen,2014,Stage 8,50,8,-,-,-,-,-,-,58,
Tejay Van Garderen,2014,Stage 9,-,5,-,-,-,-,-,2,7,
Tejay Van Garderen,2014,Stage 10,70,14,-,-,-,-,-,-,84,
Tejay Van Garderen,2014,Stage 11,-,14,-,-,-,-,-,-,14,
Tejay Van Garderen,2014,Stage 12,-,15,-,-,-,-,-,-,15,
Tejay Van Garderen,2014,Stage 13,70,16,-,-,-,6,-,-,92,
Tejay Van Garderen,2014,Stage 14,70,16,-,-,-,-,-,-,86,
Tejay Van Garderen,2014,Stage 15,-,16,-,-,-,-,-,-,16,
Tejay Van Garderen,2014,Stage 16,-,15,-,-,-,-,-,-,15,
Tejay Van Garderen,2014,Stage 17,15,15,-,-,-,-,-,-,30,
Tejay Van Garderen,2014,Stage 18,80,15,-,-,-,10,-,-,105,
Tejay Van Garderen,2014,Stage 19,-,15,-,-,-,-,-,-,15,
Tejay Van Garderen,2014,Stage 20,70,16,-,-,-,-,-,-,86,
Tejay Van Garderen,2014,Stage 21,-,16,-,-,-,-,-,-,16,
Tejay Van Garderen,2014,End-of-Tour,-,260,-,5,-,-,-,10,275,
Rafal Majka,2014,Stage 1,-,-,-,-,-,-,-,-,0,
Rafal Majka,2014,Stage 2,-,-,-,-,-,-,-,-,0,
Rafal Majka,2014,Stage 3,-,-,-,-,-,-,-,-,0,
Rafal Majka,2014,Stage 4,-,-,-,-,1,-,-,-,1,
Rafal Majka,2014,Stage 5,-,-,-,-,-,-,-,-,0,
Rafal Majka,2014,Stage 6,-,-,-,-,-,-,-,-,0,
Rafal Majka,2014,Stage 7,-,-,-,-,-,-,-,-,0,
Rafal Majka,2014,Stage 8,-,-,-,-,-,-,-,4,4,
Rafal Majka,2014,Stage 9,-,-,-,-,-,-,-,-,0,
Rafal Majka,2014,Stage 10,-,-,-,-,-,-,-,-,0,
Rafal Majka,2014,Stage 11,-,-,-,-,-,-,-,-,0,
Rafal Majka,2014,Stage 12,-,-,-,-,-,-,-,-,0,
Rafal Majka,2014,Stage 13,120,-,-,2,-,25,-,-,147,
Rafal Majka,2014,Stage 14,150,-,-,6,-,50,10,-,216,
Rafal Majka,2014,Stage 15,-,-,-,6,-,-,-,-,6,
Rafal Majka,2014,Stage 16,-,-,-,10,-,-,-,6,16,
Rafal Majka,2014,Stage 17,150,-,-,10,-,42,-,-,202,
Rafal Majka,2014,Stage 18,100,-,-,10,-,20,-,-,130,
Rafal Majka,2014,Stage 19,-,-,-,10,-,-,-,-,10,
Rafal Majka,2014,Stage 20,-,-,-,10,-,-,-,-,10,
Rafal Majka,2014,Stage 21,-,-,-,10,-,-,-,-,10,
Rafal Majka,2014,End-of-Tour,-,-,-,100,-,-,-,-,100,
Marcel Kittel,2014,Stage 1,150,25,10,-,-,-,-,-,185,
Marcel Kittel,2014,Stage 2,-,-,4,-,-,-,-,-,4,
Marcel Kittel,2014,Stage 3,150,-,6,-,-,-,-,-,156,
Marcel Kittel,2014,Stage 4,150,-,6,-,-,-,-,-,156,
Marcel Kittel,2014,Stage 5,-,-,6,-,-,-,-,-,6,
Marcel Kittel,2014,Stage 6,-,-,4,-,-,-,-,-,4,
Marcel Kittel,2014,Stage 7,-,-,4,-,-,-,-,-,4,
Marcel Kittel,2014,Stage 8,-,-,4,-,4,-,-,-,8,
Marcel Kittel,2014,Stage 9,-,-,4,-,-,-,-,-,4,
Marcel Kittel,2014,Stage 10,-,-,4,-,-,-,-,-,4,
Marcel Kittel,2014,Stage 11,-,-,4,-,6,-,-,4,14,
Marcel Kittel,2014,Stage 12,-,-,3,-,5,-,-,-,8,
Marcel Kittel,2014,Stage 13,-,-,3,-,-,-,-,-,3,
Marcel Kittel,2014,Stage 14,-,-,3,-,-,-,-,-,3,
Marcel Kittel,2014,Stage 15,25,-,3,-,-,-,-,-,28,
Marcel Kittel,2014,Stage 16,-,-,3,-,-,-,-,-,3,
Marcel Kittel,2014,Stage 17,-,-,3,-,-,-,-,-,3,
Marcel Kittel,2014,Stage 18,-,-,3,-,-,-,-,-,3,
Marcel Kittel,2014,Stage 19,-,-,2,-,-,-,-,4,6,
Marcel Kittel,2014,Stage 20,-,-,1,-,-,-,-,-,1,
Marcel Kittel,2014,Stage 21,150,-,3,-,-,-,-,-,153,
Marcel Kittel,2014,End-of-Tour,-,-,50,-,-,-,-,-,50,
Bryan Coquard,2014,Stage 1,90,18,4,-,8,-,-,-,120,
Bryan Coquard,2014,Stage 2,-,-,6,-,3,-,-,-,9,
Bryan Coquard,2014,Stage 3,90,-,4,-,10,-,-,-,104,
Bryan Coquard,2014,Stage 4,80,-,4,-,6,-,-,-,90,
Bryan Coquard,2014,Stage 5,-,-,4,-,-,-,-,-,4,
Bryan Coquard,2014,Stage 6,50,-,6,-,-,-,-,-,56,
Bryan Coquard,2014,Stage 7,-,-,6,-,4,-,-,-,10,
Bryan Coquard,2014,Stage 8,-,-,6,-,5,-,-,-,11,
Bryan Coquard,2014,Stage 9,-,-,6,-,-,-,-,-,6,
Bryan Coquard,2014,Stage 10,-,-,6,-,-,-,-,-,6,
Bryan Coquard,2014,Stage 11,-,-,6,-,3,-,-,-,9,
Bryan Coquard,2014,Stage 12,60,-,6,-,4,-,-,-,70,
Bryan Coquard,2014,Stage 13,-,-,6,-,-,-,-,-,6,
Bryan Coquard,2014,Stage 14,-,-,6,-,-,-,-,-,6,
Bryan Coquard,2014,Stage 15,70,-,6,-,10,-,-,-,86,
Bryan Coquard,2014,Stage 16,-,-,6,-,-,-,-,4,10,
Bryan Coquard,2014,Stage 17,-,-,6,-,2,-,-,-,8,
Bryan Coquard,2014,Stage 18,-,-,6,-,15,-,10,-,31,
Bryan Coquard,2014,Stage 19,-,-,6,-,-,-,-,-,6,
Bryan Coquard,2014,Stage 20,-,-,6,-,-,-,-,-,6,
Bryan Coquard,2014,Stage 21,60,-,4,-,-,-,-,-,64,
Bryan Coquard,2014,End-of-Tour,-,-,60,-,-,-,-,5,65,
Bauke Mollema,2014,Stage 1,-,-,-,-,-,-,-,2,2,
Bauke Mollema,2014,Stage 2,50,15,-,-,-,-,-,-,65,
Bauke Mollema,2014,Stage 3,-,15,-,-,-,-,-,-,15,
Bauke Mollema,2014,Stage 4,-,12,-,-,-,-,-,-,12,
Bauke Mollema,2014,Stage 5,-,3,-,-,-,-,-,10,13,
Bauke Mollema,2014,Stage 6,-,4,-,-,-,-,-,4,8,
Bauke Mollema,2014,Stage 7,-,7,-,-,-,-,-,4,11,
Bauke Mollema,2014,Stage 8,25,12,-,-,-,-,-,4,41,
Bauke Mollema,2014,Stage 9,-,9,-,-,-,-,-,4,13,
Bauke Mollema,2014,Stage 10,20,11,-,-,-,-,-,2,33,
Bauke Mollema,2014,Stage 11,10,12,-,-,-,-,-,2,24,
Bauke Mollema,2014,Stage 12,5,13,-,-,-,-,-,2,20,
Bauke Mollema,2014,Stage 13,15,14,-,-,-,-,-,4,33,
Bauke Mollema,2014,Stage 14,-,14,-,-,-,-,-,4,18,
Bauke Mollema,2014,Stage 15,-,14,-,-,-,-,-,4,18,
Bauke Mollema,2014,Stage 16,-,11,-,-,-,-,-,4,15,
Bauke Mollema,2014,Stage 17,50,14,-,-,-,8,-,4,76,
Bauke Mollema,2014,Stage 18,60,14,-,-,-,4,-,4,82,
Bauke Mollema,2014,Stage 19,-,14,-,-,-,-,-,4,18,
Bauke Mollema,2014,Stage 20,-,11,-,-,-,-,-,-,11,
Bauke Mollema,2014,Stage 21,-,11,-,-,-,-,-,4,15,
Bauke Mollema,2014,End-of-Tour,-,140,-,-,-,-,-,30,170,
Leopold Konig,2014,Stage 1,-,-,-,-,-,-,-,4,4,
Leopold Konig,2014,Stage 2,-,-,-,-,-,-,-,-,0,
Leopold Konig,2014,Stage 3,-,-,-,-,-,-,-,-,0,
Leopold Konig,2014,Stage 4,-,-,-,-,-,-,-,-,0,
Leopold Konig,2014,Stage 5,-,-,-,-,-,-,-,-,0,
Leopold Konig,2014,Stage 6,-,-,-,-,-,-,-,-,0,
Leopold Konig,2014,Stage 7,-,-,-,-,-,-,-,-,0,
Leopold Konig,2014,Stage 8,-,-,-,-,-,-,-,-,0,
Leopold Konig,2014,Stage 9,-,-,-,-,-,-,-,2,2,
Leopold Konig,2014,Stage 10,50,-,-,-,-,-,-,-,50,
Leopold Konig,2014,Stage 11,-,1,-,-,-,-,-,-,1,
Leopold Konig,2014,Stage 12,-,2,-,-,-,-,-,-,2,
Leopold Konig,2014,Stage 13,100,11,-,-,-,20,-,-,131,
Leopold Konig,2014,Stage 14,40,13,-,-,-,-,-,-,53,
Leopold Konig,2014,Stage 15,-,13,-,-,-,-,-,-,13,
Leopold Konig,2014,Stage 16,-,14,-,-,-,-,-,-,14,
Leopold Konig,2014,Stage 17,-,12,-,-,-,-,-,-,12,
Leopold Konig,2014,Stage 18,50,12,-,-,-,2,-,-,64,
Leopold Konig,2014,Stage 19,-,12,-,-,-,-,-,-,12,
Leopold Konig,2014,Stage 20,80,14,-,-,-,-,-,-,94,
Leopold Konig,2014,Stage 21,-,14,-,-,-,-,-,-,14,
Leopold Konig,2014,End-of-Tour,-,200,-,-,-,-,-,-,200,
Mark Renshaw,2014,Stage 1,-,-,-,-,-,-,-,-,0,
Mark Renshaw,2014,Stage 2,-,-,-,-,-,-,-,2,2,
Mark Renshaw,2014,Stage 3,100,-,-,-,-,-,-,-,100,
Mark Renshaw,2014,Stage 4,60,-,2,-,-,-,-,-,62,
Mark Renshaw,2014,Stage 5,5,-,1,-,-,-,-,-,6,
Mark Renshaw,2014,Stage 6,90,-,1,-,6,-,-,-,97,
Mark Renshaw,2014,Stage 7,-,-,2,-,3,-,-,6,11,
Mark Renshaw,2014,Stage 8,-,-,2,-,1,-,-,-,3,
Mark Renshaw,2014,Stage 9,-,-,2,-,-,-,-,6,8,
Mark Renshaw,2014,Stage 10,-,-,2,-,-,-,-,-,2,
Mark Renshaw,2014,Stage 11,-,-,1,-,4,-,-,2,7,
Mark Renshaw,2014,Stage 12,-,-,2,-,3,-,-,-,5,
Mark Renshaw,2014,Stage 13,-,-,2,-,-,-,-,-,2,
Mark Renshaw,2014,Stage 14,-,-,1,-,-,-,-,-,1,
Mark Renshaw,2014,Stage 15,80,-,2,-,8,-,-,-,90,
Mark Renshaw,2014,Stage 16,-,-,2,-,-,-,-,-,2,
Mark Renshaw,2014,Stage 17,-,-,2,-,-,-,-,-,2,
Mark Renshaw,2014,Stage 18,-,-,1,-,-,-,-,-,1,
Mark Renshaw,2014,Stage 19,90,-,3,-,5,-,-,-,98,
Mark Renshaw,2014,Stage 20,-,-,3,-,-,-,-,-,3,
Mark Renshaw,2014,Stage 21,80,-,2,-,-,-,-,-,82,
Mark Renshaw,2014,End-of-Tour,-,-,40,-,-,-,-,-,40,
Greg Van Avermaet,2014,Stage 1,15,8,-,-,-,-,-,-,23,
Greg Van Avermaet,2014,Stage 2,120,20,3,-,-,-,-,2,145,
Greg Van Avermaet,2014,Stage 3,-,18,2,-,4,-,-,2,26,
Greg Van Avermaet,2014,Stage 4,5,18,-,-,-,-,-,2,25,
Greg Van Avermaet,2014,Stage 5,-,-,-,-,-,-,-,2,2,
Greg Van Avermaet,2014,Stage 6,15,-,-,-,-,-,-,2,17,
Greg Van Avermaet,2014,Stage 7,30,-,-,-,-,-,-,-,30,
Greg Van Avermaet,2014,Stage 8,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2014,Stage 9,100,-,-,-,-,-,-,-,100,
Greg Van Avermaet,2014,Stage 10,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2014,Stage 11,60,-,-,-,-,-,-,-,60,
Greg Van Avermaet,2014,Stage 12,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2014,Stage 13,-,-,-,-,10,-,-,-,10,
Greg Van Avermaet,2014,Stage 14,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2014,Stage 15,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2014,Stage 16,70,-,1,-,12,6,-,-,89,
Greg Van Avermaet,2014,Stage 17,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2014,Stage 18,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2014,Stage 19,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2014,Stage 20,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2014,Stage 21,15,-,-,-,-,-,-,-,15,
Greg Van Avermaet,2014,End-of-Tour,-,-,10,-,-,-,-,10,20,
Ramunas Navardauskas,2014,Stage 1,100,20,3,-,-,-,-,-,123,
Ramunas Navardauskas,2014,Stage 2,-,-,1,-,-,-,-,-,1,
Ramunas Navardauskas,2014,Stage 3,20,-,1,-,-,-,-,-,21,
Ramunas Navardauskas,2014,Stage 4,-,-,-,-,-,-,-,-,0,
Ramunas Navardauskas,2014,Stage 5,-,-,-,-,-,-,-,-,0,
Ramunas Navardauskas,2014,Stage 6,-,-,-,-,-,-,-,-,0,
Ramunas Navardauskas,2014,Stage 7,-,-,-,-,-,-,-,-,0,
Ramunas Navardauskas,2014,Stage 8,-,-,-,-,-,-,-,-,0,
Ramunas Navardauskas,2014,Stage 9,-,-,-,-,-,-,-,-,0,
Ramunas Navardauskas,2014,Stage 10,-,-,-,-,-,-,-,-,0,
Ramunas Navardauskas,2014,Stage 11,-,-,-,-,-,-,-,-,0,
Ramunas Navardauskas,2014,Stage 12,80,-,-,-,-,-,-,-,80,
Ramunas Navardauskas,2014,Stage 13,-,-,-,-,-,-,-,-,0,
Ramunas Navardauskas,2014,Stage 14,-,-,-,-,-,-,-,-,0,
Ramunas Navardauskas,2014,Stage 15,60,-,-,-,-,-,-,-,60,
Ramunas Navardauskas,2014,Stage 16,-,-,-,-,-,-,-,-,0,
Ramunas Navardauskas,2014,Stage 17,-,-,-,-,-,-,-,-,0,
Ramunas Navardauskas,2014,Stage 18,-,-,-,-,-,-,-,-,0,
Ramunas Navardauskas,2014,Stage 19,150,-,-,-,-,-,-,-,150,
Ramunas Navardauskas,2014,Stage 20,-,-,-,-,-,-,-,-,0,
Ramunas Navardauskas,2014,Stage 21,100,-,-,-,-,-,-,-,100,
Ramunas Navardauskas,2014,End-of-Tour,-,-,15,-,-,-,-,-,15,
Laurens Ten Dam,2014,Stage 1,-,-,-,-,-,-,-,2,2,
Laurens Ten Dam,2014,Stage 2,-,-,-,-,-,-,-,-,0,
Laurens Ten Dam,2014,Stage 3,-,-,-,-,-,-,-,-,0,
Laurens Ten Dam,2014,Stage 4,-,-,-,-,-,-,-,-,0,
Laurens Ten Dam,2014,Stage 5,-,-,-,-,-,-,-,10,10,
Laurens Ten Dam,2014,Stage 6,-,-,-,-,-,-,-,4,4,
Laurens Ten Dam,2014,Stage 7,-,-,-,-,-,-,-,4,4,
Laurens Ten Dam,2014,Stage 8,-,2,-,-,-,-,-,4,6,
Laurens Ten Dam,2014,Stage 9,-,-,-,-,-,-,-,4,4,
Laurens Ten Dam,2014,Stage 10,-,2,-,-,-,-,-,2,4,
Laurens Ten Dam,2014,Stage 11,-,3,-,-,-,-,-,2,5,
Laurens Ten Dam,2014,Stage 12,-,4,-,-,-,-,-,2,6,
Laurens Ten Dam,2014,Stage 13,50,9,-,-,-,2,-,4,65,
Laurens Ten Dam,2014,Stage 14,50,12,-,-,-,-,-,4,66,
Laurens Ten Dam,2014,Stage 15,-,12,-,-,-,-,-,4,16,
