PlayerName,Year,Stage,STG,GC,PC,KOM,SPR,SUM,BKY,ASS,Total
Vincenzo Nibali,2014,Stage 1,-,-,-,-,-,-,-,-,0,
Vincenzo Nibali,2014,Stage 2,150,25,2,-,-,-,-,4,181,
Vincenzo Nibali,2014,Stage 3,-,25,-,-,-,-,-,4,29,
Vincenzo Nibali,2014,Stage 4,-,25,-,-,-,-,-,4,29,
Vincenzo Nibali,2014,Stage 5,100,25,2,-,-,-,-,14,141,
Vincenzo Nibali,2014,Stage 6,-,25,-,-,-,-,-,10,35,
Vincenzo Nibali,2014,Stage 7,-,25,-,-,-,-,-,10,35,
Vincenzo Nibali,2014,Stage 8,100,25,-,-,-,-,-,10,135,
Vincenzo Nibali,2014,Stage 9,-,22,-,-,-,-,-,6,28,
Vincenzo Nibali,2014,Stage 10,150,25,-,3,-,15,-,4,197,
Vincenzo Nibali,2014,Stage 11,-,25,-,3,-,-,-,4,32,
Vincenzo Nibali,2014,Stage 12,-,25,-,3,-,-,-,4,32,
Vincenzo Nibali,2014,Stage 13,150,25,1,10,-,30,-,-,216,
Vincenzo Nibali,2014,Stage 14,120,25,2,4,-,10,-,-,161,
Vincenzo Nibali,2014,Stage 15,-,25,-,4,-,-,-,-,29,
Vincenzo Nibali,2014,Stage 16,-,25,-,4,-,-,-,-,29,
Vincenzo Nibali,2014,Stage 17,100,25,1,6,-,20,-,-,152,
Vincenzo Nibali,2014,Stage 18,150,25,2,6,-,30,-,-,213,
Vincenzo Nibali,2014,Stage 19,-,25,1,6,-,-,-,-,32,
Vincenzo Nibali,2014,Stage 20,90,25,2,6,-,-,-,-,123,
Vincenzo Nibali,2014,Stage 21,-,25,1,6,-,-,-,-,32,
Vincenzo Nibali,2014,End-of-Tour,-,500,30,80,-,-,-,-,610,
Peter Sagan,2014,Stage 1,120,22,6,-,5,-,-,-,153,
Peter Sagan,2014,Stage 2,90,22,10,-,-,-,-,-,122,
Peter Sagan,2014,Stage 3,120,22,10,-,8,-,-,-,160,
Peter Sagan,2014,Stage 4,90,22,10,-,10,-,-,-,132,
Peter Sagan,2014,Stage 5,90,20,10,-,3,-,-,-,123,
Peter Sagan,2014,Stage 6,80,20,10,-,5,-,-,-,115,
Peter Sagan,2014,Stage 7,120,20,10,-,2,-,-,-,152,
Peter Sagan,2014,Stage 8,-,-,10,-,3,-,-,-,13,
Peter Sagan,2014,Stage 9,-,-,10,-,-,-,-,-,10,
Peter Sagan,2014,Stage 10,-,-,10,-,15,-,10,-,35,
Peter Sagan,2014,Stage 11,40,-,10,-,-,-,-,-,50,
Peter Sagan,2014,Stage 12,120,-,10,-,-,-,-,-,130,
Peter Sagan,2014,Stage 13,-,-,10,-,-,-,-,-,10,
Peter Sagan,2014,Stage 14,-,-,10,-,15,-,10,-,35,
Peter Sagan,2014,Stage 15,100,-,10,-,6,-,-,-,116,
Peter Sagan,2014,Stage 16,-,-,10,-,-,-,-,-,10,
Peter Sagan,2014,Stage 17,-,-,10,-,1,-,-,-,11,
Peter Sagan,2014,Stage 18,-,-,10,-,-,-,-,-,10,
Peter Sagan,2014,Stage 19,-,-,10,-,4,-,-,-,14,
Peter Sagan,2014,Stage 20,-,-,10,-,-,-,-,-,10,
Peter Sagan,2014,Stage 21,40,-,10,-,-,-,-,-,50,
Peter Sagan,2014,End-of-Tour,-,-,100,-,-,-,-,-,100,
Jean-Christophe Peraud,2014,Stage 1,-,-,-,-,-,-,-,-,0,
Jean-Christophe Peraud,2014,Stage 2,-,4,-,-,-,-,-,-,4,
Jean-Christophe Peraud,2014,Stage 3,-,8,-,-,-,-,-,-,8,
Jean-Christophe Peraud,2014,Stage 4,-,7,-,-,-,-,-,-,7,
Jean-Christophe Peraud,2014,Stage 5,-,-,-,-,-,-,-,-,0,
Jean-Christophe Peraud,2014,Stage 6,-,-,-,-,-,-,-,2,2,
Jean-Christophe Peraud,2014,Stage 7,-,-,-,-,-,-,-,-,0,
Jean-Christophe Peraud,2014,Stage 8,70,7,-,-,-,-,-,6,83,
Jean-Christophe Peraud,2014,Stage 9,-,4,-,-,-,-,-,2,6,
Jean-Christophe Peraud,2014,Stage 10,90,13,-,-,-,4,-,6,113,
Jean-Christophe Peraud,2014,Stage 11,-,13,-,-,-,-,-,6,19,
Jean-Christophe Peraud,2014,Stage 12,-,14,-,-,-,-,-,6,20,
Jean-Christophe Peraud,2014,Stage 13,40,15,-,-,-,-,-,8,63,
Jean-Christophe Peraud,2014,Stage 14,100,15,-,-,-,6,-,8,129,
Jean-Christophe Peraud,2014,Stage 15,-,15,-,-,-,-,-,8,23,
Jean-Christophe Peraud,2014,Stage 16,-,18,-,-,-,-,-,6,24,
Jean-Christophe Peraud,2014,Stage 17,90,18,-,1,-,15,-,6,130,
Jean-Christophe Peraud,2014,Stage 18,90,20,-,2,-,15,-,6,133,
Jean-Christophe Peraud,2014,Stage 19,-,20,-,2,-,-,-,6,28,
Jean-Christophe Peraud,2014,Stage 20,60,22,-,2,-,-,-,-,84,
Jean-Christophe Peraud,2014,Stage 21,-,22,-,2,-,-,-,6,30,
Jean-Christophe Peraud,2014,End-of-Tour,-,400,-,40,-,-,-,40,480,
Thibaut Pinot,2014,Stage 1,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2014,Stage 2,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2014,Stage 3,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2014,Stage 4,-,-,-,-,-,-,-,2,2,
Thibaut Pinot,2014,Stage 5,-,6,-,-,-,-,-,-,6,
Thibaut Pinot,2014,Stage 6,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2014,Stage 7,-,2,-,-,-,-,-,-,2,
Thibaut Pinot,2014,Stage 8,80,9,-,-,-,-,-,-,89,
Thibaut Pinot,2014,Stage 9,-,6,-,-,-,-,-,-,6,
Thibaut Pinot,2014,Stage 10,120,15,-,-,-,10,-,-,145,
Thibaut Pinot,2014,Stage 11,-,15,-,-,-,-,-,-,15,
Thibaut Pinot,2014,Stage 12,-,16,-,-,-,-,-,2,18,
Thibaut Pinot,2014,Stage 13,80,18,-,4,5,10,-,-,117,
Thibaut Pinot,2014,Stage 14,90,18,-,3,-,4,-,-,115,
Thibaut Pinot,2014,Stage 15,-,18,-,3,-,-,-,-,21,
Thibaut Pinot,2014,Stage 16,-,20,-,2,-,-,-,-,22,
Thibaut Pinot,2014,Stage 17,25,20,-,-,-,-,-,-,45,
Thibaut Pinot,2014,Stage 18,120,22,-,3,-,25,-,-,170,
Thibaut Pinot,2014,Stage 19,-,22,-,3,-,-,-,-,25,
Thibaut Pinot,2014,Stage 20,20,20,-,3,-,-,-,-,43,
Thibaut Pinot,2014,Stage 21,-,20,-,3,-,-,-,-,23,
Thibaut Pinot,2014,End-of-Tour,-,350,-,50,-,-,-,-,400,
Alejandro Valverde,2014,Stage 1,-,-,-,-,-,-,-,-,0,
Alejandro Valverde,2014,Stage 2,-,10,-,-,-,-,-,-,10,
Alejandro Valverde,2014,Stage 3,-,13,-,-,-,-,-,-,13,
Alejandro Valverde,2014,Stage 4,-,15,-,-,-,-,-,-,15,
Alejandro Valverde,2014,Stage 5,-,11,-,-,-,-,-,-,11,
Alejandro Valverde,2014,Stage 6,-,11,-,-,-,-,-,-,11,
Alejandro Valverde,2014,Stage 7,20,12,-,-,-,-,-,-,32,
Alejandro Valverde,2014,Stage 8,60,16,-,-,-,-,-,-,76,
Alejandro Valverde,2014,Stage 9,-,14,-,-,-,-,-,-,14,
Alejandro Valverde,2014,Stage 10,100,20,-,-,-,6,-,-,126,
Alejandro Valverde,2014,Stage 11,-,20,-,-,-,-,-,-,20,
Alejandro Valverde,2014,Stage 12,-,20,-,-,-,-,-,-,20,
Alejandro Valverde,2014,Stage 13,90,22,-,3,-,15,-,-,130,
Alejandro Valverde,2014,Stage 14,30,22,-,2,-,-,-,-,54,
Alejandro Valverde,2014,Stage 15,-,22,-,2,-,-,-,-,24,
Alejandro Valverde,2014,Stage 16,-,22,-,1,-,-,-,-,23,
