PlayerName,Year,Stage,STG,GC,PC,KOM,SPR,SUM,BKY,ASS,Total
Romain Bardet,2016,Stage 12,10,16,-,-,-,-,-,-,26,
Romain Bardet,2016,Stage 13,-,14,-,-,-,-,-,-,14,
Romain Bardet,2016,Stage 14,-,14,-,-,-,-,-,-,14,
Romain Bardet,2016,Stage 15,-,15,-,-,-,-,-,2,17,
Romain Bardet,2016,Stage 16,15,15,-,-,-,-,-,-,30,
Romain Bardet,2016,Stage 17,15,16,-,-,-,-,-,-,31,
Romain Bardet,2016,Stage 18,80,16,-,-,-,-,-,-,96,
Romain Bardet,2016,Stage 19,200,22,-,-,-,15,-,-,237,
Romain Bardet,2016,Stage 20,30,22,-,-,-,-,-,-,52,
Romain Bardet,2016,Stage 21,-,22,-,-,-,-,-,-,22,
Romain Bardet,2016,Final Classifications,-,400,-,-,-,-,-,10,410,
Rafa Majka,2016,Stage 1,-,-,-,-,-,-,-,4,4,
Rafa Majka,2016,Stage 2,-,-,-,-,-,-,-,12,12,
Rafa Majka,2016,Stage 3,-,-,-,-,-,-,-,6,6,
Rafa Majka,2016,Stage 4,-,-,-,-,-,-,-,8,8,
Rafa Majka,2016,Stage 5,120,-,-,1,5,-,10,-,136,
Rafa Majka,2016,Stage 6,-,-,-,-,-,-,-,-,0,
Rafa Majka,2016,Stage 7,-,-,-,-,-,-,-,-,0,
Rafa Majka,2016,Stage 8,-,-,-,10,-,33,10,-,53,
Rafa Majka,2016,Stage 9,120,-,-,6,8,32,10,-,176,
Rafa Majka,2016,Stage 10,-,-,-,6,-,-,-,4,10,
Rafa Majka,2016,Stage 11,-,-,-,6,-,-,-,8,14,
Rafa Majka,2016,Stage 12,-,-,-,4,-,-,-,-,4,
Rafa Majka,2016,Stage 13,-,-,-,6,-,-,-,-,6,
Rafa Majka,2016,Stage 14,-,-,-,6,-,-,-,2,8,
Rafa Majka,2016,Stage 15,150,-,-,10,12,60,-,-,232,
Rafa Majka,2016,Stage 16,-,-,-,10,-,-,-,6,16,
Rafa Majka,2016,Stage 17,120,-,-,10,-,35,10,-,175,
Rafa Majka,2016,Stage 18,-,-,-,10,-,-,-,-,10,
Rafa Majka,2016,Stage 19,-,-,-,10,-,40,10,-,60,
Rafa Majka,2016,Stage 20,5,-,-,10,-,-,-,-,15,
Rafa Majka,2016,Stage 21,-,-,-,10,-,-,-,4,14,
Rafa Majka,2016,Final Classifications,-,20,5,100,-,-,-,-,125,
Alejandro Valverde,2016,Stage 1,-,-,-,-,-,-,-,-,0,
Alejandro Valverde,2016,Stage 2,120,20,-,-,-,-,-,2,142,
Alejandro Valverde,2016,Stage 3,-,20,-,-,-,-,-,2,22,
Alejandro Valverde,2016,Stage 4,-,20,-,-,-,-,-,2,22,
Alejandro Valverde,2016,Stage 5,-,20,-,-,-,-,-,2,22,
Alejandro Valverde,2016,Stage 6,-,20,-,-,-,-,-,2,22,
Alejandro Valverde,2016,Stage 7,30,18,-,-,-,-,-,2,50,
Alejandro Valverde,2016,Stage 8,50,16,-,-,-,6,-,2,74,
Alejandro Valverde,2016,Stage 9,-,11,-,-,-,-,-,6,17,
Alejandro Valverde,2016,Stage 10,-,11,-,-,-,-,-,4,15,
Alejandro Valverde,2016,Stage 11,-,13,-,-,-,-,-,4,17,
Alejandro Valverde,2016,Stage 12,-,15,-,-,-,-,-,6,21,
Alejandro Valverde,2016,Stage 13,5,16,-,-,-,-,-,-,21,
Alejandro Valverde,2016,Stage 14,-,16,-,-,-,-,-,4,20,
Alejandro Valverde,2016,Stage 15,-,16,-,-,-,-,-,6,22,
Alejandro Valverde,2016,Stage 16,25,16,-,-,-,-,-,6,47,
Alejandro Valverde,2016,Stage 17,-,14,-,-,-,-,-,6,20,
Alejandro Valverde,2016,Stage 18,20,13,-,-,-,-,-,-,33,
Alejandro Valverde,2016,Stage 19,120,14,-,-,-,6,-,8,148,
Alejandro Valverde,2016,Stage 20,20,15,-,-,-,-,-,14,49,
Alejandro Valverde,2016,Stage 21,-,15,-,-,-,-,-,8,23,
Alejandro Valverde,2016,Final Classifications,-,220,-,-,-,-,-,40,260,
Mark Cavendish,2016,Stage 1,200,25,10,-,1,-,-,-,236,
Mark Cavendish,2016,Stage 2,-,-,6,-,2,-,-,-,8,
Mark Cavendish,2016,Stage 3,200,-,10,-,5,-,-,-,215,
Mark Cavendish,2016,Stage 4,50,-,6,-,4,-,-,-,60,
Mark Cavendish,2016,Stage 5,-,-,6,-,-,-,-,-,6,
Mark Cavendish,2016,Stage 6,200,-,10,-,3,-,-,-,213,
Mark Cavendish,2016,Stage 7,-,-,10,-,-,-,-,6,16,
Mark Cavendish,2016,Stage 8,-,-,10,-,-,-,-,-,10,
Mark Cavendish,2016,Stage 9,-,-,10,-,-,-,-,-,10,
Mark Cavendish,2016,Stage 10,-,-,6,-,-,-,-,2,8,
Mark Cavendish,2016,Stage 11,-,-,6,-,10,-,-,-,16,
Mark Cavendish,2016,Stage 12,-,-,6,-,-,-,-,4,10,
Mark Cavendish,2016,Stage 13,-,-,6,-,-,-,-,-,6,
Mark Cavendish,2016,Stage 14,200,-,6,-,4,-,-,-,210,
Mark Cavendish,2016,Stage 15,-,-,6,-,-,-,-,-,6,
Mark Cavendish,2016,Stage 16,-,-,6,-,8,-,-,-,14,
Mark Cavendish,2016,Stage 17,-,-,-,-,-,-,-,-,0,
Mark Cavendish,2016,Stage 18,-,-,-,-,-,-,-,-,0,
Mark Cavendish,2016,Stage 19,-,-,-,-,-,-,-,-,0,
Mark Cavendish,2016,Stage 20,-,-,-,-,-,-,-,-,0,
Mark Cavendish,2016,Stage 21,-,-,-,-,-,-,-,-,0,
Mark Cavendish,2016,Final Classifications,-,-,-,-,-,-,-,-,0,
Nairo Quintana,2016,Stage 1,-,-,-,-,-,-,-,-,0,
Nairo Quintana,2016,Stage 2,-,14,-,-,-,-,-,6,20,
Nairo Quintana,2016,Stage 3,-,15,-,-,-,-,-,4,19,
Nairo Quintana,2016,Stage 4,-,14,-,-,-,-,-,4,18,
Nairo Quintana,2016,Stage 5,5,14,-,-,-,-,-,4,23,
Nairo Quintana,2016,Stage 6,-,14,-,-,-,-,-,4,18,
Nairo Quintana,2016,Stage 7,-,14,-,-,-,-,-,2,16,
Nairo Quintana,2016,Stage 8,25,15,-,-,-,10,-,2,52,
Nairo Quintana,2016,Stage 9,20,18,-,-,-,-,-,6,44,
Nairo Quintana,2016,Stage 10,-,18,-,-,-,-,-,4,22,
Nairo Quintana,2016,Stage 11,-,18,-,-,2,-,-,4,24,
Nairo Quintana,2016,Stage 12,-,20,-,-,-,-,-,4,24,
Nairo Quintana,2016,Stage 13,-,18,-,-,-,-,-,-,18,
Nairo Quintana,2016,Stage 14,-,18,-,-,-,-,-,4,22,
Nairo Quintana,2016,Stage 15,5,18,-,-,-,-,-,6,29,
Nairo Quintana,2016,Stage 16,-,18,-,-,-,-,-,6,24,
Nairo Quintana,2016,Stage 17,-,18,-,-,-,-,-,6,24,
Nairo Quintana,2016,Stage 18,30,18,-,-,-,-,-,-,48,
Nairo Quintana,2016,Stage 19,80,20,-,-,-,2,-,8,110,
Nairo Quintana,2016,Stage 20,25,20,-,-,-,-,-,12,57,
Nairo Quintana,2016,Stage 21,-,20,-,-,-,-,-,6,26,
Nairo Quintana,2016,Final Classifications,-,350,-,-,-,-,-,40,390,
Marcel Kittel,2016,Stage 1,150,22,6,-,5,-,-,2,185,
Marcel Kittel,2016,Stage 2,-,-,4,-,5,-,-,8,17,
Marcel Kittel,2016,Stage 3,60,-,3,-,10,-,-,4,77,
Marcel Kittel,2016,Stage 4,200,-,4,-,5,-,-,4,213,
Marcel Kittel,2016,Stage 5,-,-,4,-,-,-,-,4,8,
Marcel Kittel,2016,Stage 6,150,-,6,-,5,-,-,4,165,
Marcel Kittel,2016,Stage 7,-,-,6,-,-,-,-,2,8,
Marcel Kittel,2016,Stage 8,-,-,6,-,-,-,-,4,10,
Marcel Kittel,2016,Stage 9,-,-,4,-,-,-,-,2,6,
Marcel Kittel,2016,Stage 10,-,-,4,-,-,-,-,2,6,
Marcel Kittel,2016,Stage 11,-,-,4,-,15,-,-,2,21,
Marcel Kittel,2016,Stage 12,-,-,4,-,-,-,-,-,4,
Marcel Kittel,2016,Stage 13,-,-,4,-,-,-,-,-,4,
Marcel Kittel,2016,Stage 14,80,-,4,-,5,-,-,-,89,
Marcel Kittel,2016,Stage 15,-,-,4,-,-,-,-,-,4,
Marcel Kittel,2016,Stage 16,-,-,4,-,-,-,-,-,4,
Marcel Kittel,2016,Stage 17,-,-,6,-,-,-,-,-,6,
Marcel Kittel,2016,Stage 18,-,-,6,-,-,-,-,-,6,
Marcel Kittel,2016,Stage 19,-,-,6,-,-,-,-,-,6,
Marcel Kittel,2016,Stage 20,-,-,6,-,-,-,-,-,6,
Marcel Kittel,2016,Stage 21,-,-,6,-,-,-,-,-,6,
Marcel Kittel,2016,Final Classifications,-,-,80,-,-,-,-,-,80,
Joaquim Rodrguez,2016,Stage 1,-,-,-,-,-,-,-,-,0,
Joaquim Rodrguez,2016,Stage 2,5,-,-,-,-,-,-,-,5,
Joaquim Rodrguez,2016,Stage 3,-,-,-,-,-,-,-,-,0,
Joaquim Rodrguez,2016,Stage 4,-,-,-,-,-,-,-,-,0,
Joaquim Rodrguez,2016,Stage 5,100,18,-,-,-,-,-,-,118,
Joaquim Rodrguez,2016,Stage 6,-,18,-,-,-,-,-,-,18,
Joaquim Rodrguez,2016,Stage 7,-,16,-,-,-,-,-,-,16,
Joaquim Rodrguez,2016,Stage 8,120,20,-,-,-,-,-,-,140,
Joaquim Rodrguez,2016,Stage 9,-,16,-,-,-,-,-,-,16,
Joaquim Rodrguez,2016,Stage 10,-,16,-,-,-,-,-,-,16,
Joaquim Rodrguez,2016,Stage 11,-,9,-,-,-,-,-,-,9,
Joaquim Rodrguez,2016,Stage 12,5,11,-,-,-,-,-,-,16,
Joaquim Rodrguez,2016,Stage 13,-,8,-,-,-,-,-,-,8,
Joaquim Rodrguez,2016,Stage 14,-,8,-,-,-,-,-,4,12,
Joaquim Rodrguez,2016,Stage 15,-,8,-,-,-,-,-,-,8,
Joaquim Rodrguez,2016,Stage 16,-,8,-,-,-,-,-,4,12,
Joaquim Rodrguez,2016,Stage 17,-,9,-,-,-,-,-,6,15,
Joaquim Rodrguez,2016,Stage 18,50,10,-,-,-,-,-,-,60,
Joaquim Rodrguez,2016,Stage 19,150,10,-,-,-,10,-,-,170,
Joaquim Rodrguez,2016,Stage 20,50,14,-,-,-,-,-,-,64,
Joaquim Rodrguez,2016,Stage 21,-,14,-,-,-,-,-,2,16,
Joaquim Rodrguez,2016,Final Classifications,-,200,-,-,-,-,-,-,200,
Daniel Martin,2016,Stage 1,-,-,-,-,-,-,-,10,10,
Daniel Martin,2016,Stage 2,100,11,-,-,-,-,-,8,119,
Daniel Martin,2016,Stage 3,-,11,-,-,-,-,-,4,15,
Daniel Martin,2016,Stage 4,-,8,-,-,-,-,-,10,18,
Daniel Martin,2016,Stage 5,80,11,-,-,-,-,-,4,95,
Daniel Martin,2016,Stage 6,-,11,-,-,-,-,-,8,19,
Daniel Martin,2016,Stage 7,5,11,-,-,-,-,-,2,18,
Daniel Martin,2016,Stage 8,150,18,-,-,-,-,-,-,168,
Daniel Martin,2016,Stage 9,10,20,-,-,-,-,-,-,30,
Daniel Martin,2016,Stage 10,-,20,-,-,-,-,-,-,20,
Daniel Martin,2016,Stage 11,-,20,-,-,-,-,-,-,20,
Daniel Martin,2016,Stage 12,-,12,-,-,-,-,-,-,12,
Daniel Martin,2016,Stage 13,-,12,-,-,-,-,-,-,12,
Daniel Martin,2016,Stage 14,-,12,-,-,-,-,-,-,12,
Daniel Martin,2016,Stage 15,-,12,-,-,-,-,-,-,12,
Daniel Martin,2016,Stage 16,-,12,-,-,-,-,-,-,12,
Daniel Martin,2016,Stage 17,-,12,-,-,-,-,-,-,12,
Daniel Martin,2016,Stage 18,-,11,-,-,-,-,-,-,11,
Daniel Martin,2016,Stage 19,60,12,-,-,-,-,-,-,72,
Daniel Martin,2016,Stage 20,40,12,-,-,-,-,-,-,52,
Daniel Martin,2016,Stage 21,-,12,-,-,-,-,-,-,12,
Daniel Martin,2016,Final Classifications,-,160,-,-,-,-,-,-,160,
Adam Yates,2016,Stage 1,-,-,-,-,-,-,-,-,0,
Adam Yates,2016,Stage 2,15,-,-,-,-,-,-,6,21,
Adam Yates,2016,Stage 3,-,3,-,-,-,-,-,6,9,
Adam Yates,2016,Stage 4,-,2,-,-,-,-,-,6,8,
Adam Yates,2016,Stage 5,50,8,-,-,-,-,-,-,58,
Adam Yates,2016,Stage 6,-,8,-,-,-,-,-,-,8,
Adam Yates,2016,Stage 7,-,22,-,-,-,-,-,4,26,
Adam Yates,2016,Stage 8,60,22,-,-,-,-,-,-,82,
Adam Yates,2016,Stage 9,30,22,-,-,-,-,-,-,52,
Adam Yates,2016,Stage 10,-,22,-,-,-,-,-,6,28,
Adam Yates,2016,Stage 11,5,22,-,-,-,-,-,-,27,
Adam Yates,2016,Stage 12,25,22,-,-,-,-,-,-,47,
Adam Yates,2016,Stage 13,-,20,-,-,-,-,-,-,20,
Adam Yates,2016,Stage 14,-,20,-,-,-,-,-,-,20,
Adam Yates,2016,Stage 15,-,20,-,-,-,-,-,-,20,
Adam Yates,2016,Stage 16,-,20,-,-,-,-,-,-,20,
Adam Yates,2016,Stage 17,20,20,-,-,-,-,-,-,40,
Adam Yates,2016,Stage 18,-,20,-,-,-,-,-,-,20,
Adam Yates,2016,Stage 19,15,18,-,-,-,-,-,-,33,
Adam Yates,2016,Stage 20,15,18,-,-,-,-,-,-,33,
Adam Yates,2016,Stage 21,-,18,-,-,-,-,-,-,18,
Adam Yates,2016,Final Classifications,-,300,-,-,-,-,-,-,300,
Alexander Kristoff,2016,Stage 1,50,13,-,-,-,-,-,-,63,
Alexander Kristoff,2016,Stage 2,-,-,-,-,4,-,-,-,4,
Alexander Kristoff,2016,Stage 3,25,-,1,-,8,-,-,-,34,
Alexander Kristoff,2016,Stage 4,80,-,1,-,-,-,-,-,81,
Alexander Kristoff,2016,Stage 5,-,-,-,-,-,-,-,-,0,
Alexander Kristoff,2016,Stage 6,100,-,1,-,-,-,-,-,101,
Alexander Kristoff,2016,Stage 7,-,-,-,-,-,-,-,-,0,
Alexander Kristoff,2016,Stage 8,-,-,-,-,-,-,-,4,4,
Alexander Kristoff,2016,Stage 9,-,-,-,-,-,-,-,-,0,
Alexander Kristoff,2016,Stage 10,-,-,-,-,-,-,-,-,0,
Alexander Kristoff,2016,Stage 11,100,-,-,-,-,-,-,-,100,
Alexander Kristoff,2016,Stage 12,-,-,-,-,-,-,-,-,0,
Alexander Kristoff,2016,Stage 13,-,-,-,-,-,-,-,-,0,
Alexander Kristoff,2016,Stage 14,150,-,-,-,-,-,-,-,150,
Alexander Kristoff,2016,Stage 15,-,-,-,-,-,-,-,-,0,
Alexander Kristoff,2016,Stage 16,150,-,2,-,-,-,-,-,152,
Alexander Kristoff,2016,Stage 17,-,-,3,-,-,-,-,6,9,
Alexander Kristoff,2016,Stage 18,-,-,3,-,-,-,-,-,3,
Alexander Kristoff,2016,Stage 19,-,-,2,-,-,-,-,4,6,
Alexander Kristoff,2016,Stage 20,-,-,2,-,-,-,-,-,2,
Alexander Kristoff,2016,Stage 21,120,-,2,-,-,-,-,-,122,
Alexander Kristoff,2016,Final Classifications,-,-,40,-,-,-,-,-,40,
Thomas De Gendt,2016,Stage 1,-,-,-,-,-,-,-,6,6,
Thomas De Gendt,2016,Stage 2,-,-,-,-,-,-,-,-,0,
Thomas De Gendt,2016,Stage 3,-,-,-,-,-,-,-,4,4,
Thomas De Gendt,2016,Stage 4,-,-,-,-,-,-,-,-,0,
Thomas De Gendt,2016,Stage 5,150,-,-,10,10,-,10,-,180,
Thomas De Gendt,2016,Stage 6,-,-,-,10,-,-,-,-,10,
Thomas De Gendt,2016,Stage 7,-,-,-,10,-,-,-,-,10,
Thomas De Gendt,2016,Stage 8,-,-,-,-,-,-,-,-,0,
Thomas De Gendt,2016,Stage 9,-,-,-,2,12,25,10,-,49,
Thomas De Gendt,2016,Stage 10,-,-,-,2,-,-,-,-,2,
Thomas De Gendt,2016,Stage 11,-,-,-,2,-,-,-,-,2,
Thomas De Gendt,2016,Stage 12,200,-,-,10,6,30,10,-,256,
Thomas De Gendt,2016,Stage 13,-,-,-,10,-,-,-,-,10,
Thomas De Gendt,2016,Stage 14,-,-,-,10,-,-,-,-,10,
Thomas De Gendt,2016,Stage 15,-,-,-,6,-,-,-,-,6,
Thomas De Gendt,2016,Stage 16,-,-,-,6,-,-,-,-,6,
Thomas De Gendt,2016,Stage 17,-,-,-,6,-,-,-,-,6,
Thomas De Gendt,2016,Stage 18,70,-,-,6,-,-,-,-,76,
Thomas De Gendt,2016,Stage 19,-,-,-,6,12,15,10,-,43,
Thomas De Gendt,2016,Stage 20,-,-,1,6,12,30,-,-,49,
Thomas De Gendt,2016,Stage 21,-,-,-,6,-,-,-,6,12,
Thomas De Gendt,2016,Final Classifications,-,-,20,80,-,-,-,-,100,
Jarlinson Pantano,2016,Stage 1,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2016,Stage 2,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2016,Stage 3,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2016,Stage 4,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2016,Stage 5,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2016,Stage 6,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2016,Stage 7,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2016,Stage 8,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2016,Stage 9,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2016,Stage 10,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2016,Stage 11,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2016,Stage 12,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2016,Stage 13,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2016,Stage 14,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2016,Stage 15,200,-,-,-,-,25,-,-,225,
Jarlinson Pantano,2016,Stage 16,-,-,-,-,-,-,-,2,2,
Jarlinson Pantano,2016,Stage 17,150,-,-,2,5,25,10,-,192,
Jarlinson Pantano,2016,Stage 18,-,-,-,2,-,-,-,-,2,
Jarlinson Pantano,2016,Stage 19,-,-,-,4,4,22,10,-,40,
Jarlinson Pantano,2016,Stage 20,150,2,-,4,-,44,10,-,210,
Jarlinson Pantano,2016,Stage 21,-,2,-,4,-,-,-,-,6,
Jarlinson Pantano,2016,Final Classifications,-,60,-,60,-,-,-,-,120,
Richie Porte,2016,Stage 1,-,-,-,-,-,-,-,-,0,
Richie Porte,2016,Stage 2,-,-,-,-,-,-,-,-,0,
Richie Porte,2016,Stage 3,-,-,-,-,-,-,-,-,0,
Richie Porte,2016,Stage 4,-,-,-,-,-,-,-,-,0,
Richie Porte,2016,Stage 5,20,-,-,-,-,-,-,18,38,
Richie Porte,2016,Stage 6,-,-,-,-,-,-,-,12,12,
Richie Porte,2016,Stage 7,15,-,-,-,-,-,-,12,27,
Richie Porte,2016,Stage 8,30,3,-,-,-,4,-,6,43,
Richie Porte,2016,Stage 9,15,7,-,-,-,-,-,2,24,
Richie Porte,2016,Stage 10,-,7,-,-,-,-,-,6,13,
Richie Porte,2016,Stage 11,-,7,-,-,-,-,-,6,13,
Richie Porte,2016,Stage 12,-,10,-,-,-,-,-,6,16,
Richie Porte,2016,Stage 13,-,13,-,-,-,-,-,-,13,
Richie Porte,2016,Stage 14,-,13,-,-,-,-,-,6,19,
Richie Porte,2016,Stage 15,-,14,-,-,-,-,-,2,16,
Richie Porte,2016,Stage 16,-,14,-,-,-,-,-,2,16,
Richie Porte,2016,Stage 17,30,15,-,-,-,-,-,2,47,
Richie Porte,2016,Stage 18,100,15,-,-,-,-,-,-,115,
Richie Porte,2016,Stage 19,30,16,-,-,-,-,-,2,48,
Richie Porte,2016,Stage 20,-,16,-,-,-,-,-,2,18,
Richie Porte,2016,Stage 21,-,16,-,-,-,-,-,2,18,
Richie Porte,2016,Final Classifications,-,260,-,-,-,-,-,20,280,
Michael Matthews,2016,Stage 1,-,-,-,-,-,-,-,-,0,
Michael Matthews,2016,Stage 2,80,2,-,-,-,-,-,6,88,
Michael Matthews,2016,Stage 3,20,9,-,-,3,-,-,6,38,
Michael Matthews,2016,Stage 4,10,12,-,-,-,-,-,6,28,
Michael Matthews,2016,Stage 5,-,-,-,-,-,-,-,-,0,
Michael Matthews,2016,Stage 6,25,-,-,-,8,-,-,-,33,
Michael Matthews,2016,Stage 7,-,-,-,-,-,-,-,8,8,
Michael Matthews,2016,Stage 8,-,-,-,-,15,-,-,4,19,
Michael Matthews,2016,Stage 9,-,-,-,-,-,-,-,4,4,
Michael Matthews,2016,Stage 10,200,-,3,-,12,-,10,4,229,
Michael Matthews,2016,Stage 11,-,-,3,-,-,-,-,4,7,
Michael Matthews,2016,Stage 12,-,-,2,-,-,-,-,4,6,
Michael Matthews,2016,Stage 13,-,-,2,-,-,-,-,-,2,
Michael Matthews,2016,Stage 14,10,-,1,-,-,-,-,2,13,
Michael Matthews,2016,Stage 15,-,-,1,-,-,-,-,2,3,
Michael Matthews,2016,Stage 16,80,-,1,-,-,-,-,2,83,
Michael Matthews,2016,Stage 17,-,-,2,-,-,-,-,2,4,
Michael Matthews,2016,Stage 18,-,-,2,-,-,-,-,-,2,
Michael Matthews,2016,Stage 19,-,-,4,-,15,-,10,-,29,
Michael Matthews,2016,Stage 20,-,-,4,-,15,-,-,-,19,
Michael Matthews,2016,Stage 21,80,-,4,-,-,-,-,-,84,
Michael Matthews,2016,Final Classifications,-,-,60,-,-,-,-,-,60,
Greg Van Avermaet,2016,Stage 1,-,-,-,-,2,-,-,-,2,
Greg Van Avermaet,2016,Stage 2,50,15,-,-,-,-,-,-,65,
Greg Van Avermaet,2016,Stage 3,-,6,-,-,-,-,-,-,6,
Greg Van Avermaet,2016,Stage 4,-,1,-,-,-,-,-,-,1,
Greg Van Avermaet,2016,Stage 5,200,25,1,6,15,-,10,6,263,
Greg Van Avermaet,2016,Stage 6,-,25,-,6,-,-,-,6,37,
Greg Van Avermaet,2016,Stage 7,80,25,2,6,1,2,-,6,122,
Greg Van Avermaet,2016,Stage 8,-,-,2,-,-,-,-,6,8,
Greg Van Avermaet,2016,Stage 9,-,-,2,-,-,-,-,2,4,
Greg Van Avermaet,2016,Stage 10,100,-,2,-,-,-,10,6,118,
Greg Van Avermaet,2016,Stage 11,-,-,2,-,-,-,-,6,8,
Greg Van Avermaet,2016,Stage 12,-,-,-,-,-,-,-,6,6,
Greg Van Avermaet,2016,Stage 13,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2016,Stage 14,-,-,-,-,-,-,-,6,6,
Greg Van Avermaet,2016,Stage 15,-,-,-,-,-,-,-,2,2,
Greg Van Avermaet,2016,Stage 16,30,-,-,-,-,-,-,2,32,
Greg Van Avermaet,2016,Stage 17,-,-,1,-,12,-,-,2,15,
Greg Van Avermaet,2016,Stage 18,-,-,1,-,-,-,-,-,1,
Greg Van Avermaet,2016,Stage 19,-,-,1,-,-,-,-,2,3,
Greg Van Avermaet,2016,Stage 20,-,-,-,-,-,-,-,2,2,
Greg Van Avermaet,2016,Stage 21,-,-,-,-,-,-,-,2,2,
Greg Van Avermaet,2016,Final Classifications,-,-,15,-,-,-,-,20,35,
Andr Greipel,2016,Stage 1,100,18,3,-,6,-,-,6,133,
