PlayerName,Year,Stage,STG,GC,PC,KOM,SPR,SUM,BKY,ASS,Total
Christopher Froome,2016,Stage 1,-,-,-,-,-,-,-,-,0,
Christopher Froome,2016,Stage 2,30,16,-,-,-,-,-,4,50,
Christopher Froome,2016,Stage 3,-,18,-,-,-,-,-,4,22,
Christopher Froome,2016,Stage 4,-,16,-,-,-,-,-,4,20,
Christopher Froome,2016,Stage 5,40,16,-,-,-,-,-,4,60,
Christopher Froome,2016,Stage 6,-,16,-,-,-,-,-,4,20,
Christopher Froome,2016,Stage 7,25,15,-,-,-,-,-,4,44,
Christopher Froome,2016,Stage 8,200,25,-,4,-,25,-,4,258,
Christopher Froome,2016,Stage 9,25,25,-,-,-,-,-,4,54,
Christopher Froome,2016,Stage 10,-,25,-,-,-,-,-,2,27,
Christopher Froome,2016,Stage 11,150,25,-,-,-,-,-,2,177,
Christopher Froome,2016,Stage 12,-,25,-,-,-,-,-,2,27,
Christopher Froome,2016,Stage 13,150,25,-,-,-,-,-,-,175,
Christopher Froome,2016,Stage 14,-,25,-,-,-,-,-,2,27,
Christopher Froome,2016,Stage 15,10,25,-,-,-,-,-,4,39,
Christopher Froome,2016,Stage 16,10,25,-,-,-,-,-,4,39,
Christopher Froome,2016,Stage 17,25,25,-,-,-,-,-,4,54,
Christopher Froome,2016,Stage 18,200,25,-,-,-,-,-,-,225,
Christopher Froome,2016,Stage 19,40,25,-,-,-,-,-,4,69,
Christopher Froome,2016,Stage 20,-,25,-,-,-,-,-,4,29,
Christopher Froome,2016,Stage 21,-,25,-,-,-,-,-,4,29,
Christopher Froome,2016,Final Classifications,-,500,10,-,-,-,-,30,540,
Peter Sagan,2016,Stage 1,120,20,4,-,4,-,-,-,148,
Peter Sagan,2016,Stage 2,200,25,10,-,3,-,-,-,238,
Peter Sagan,2016,Stage 3,100,25,6,-,6,-,-,-,137,
Peter Sagan,2016,Stage 4,120,25,10,-,6,-,-,-,161,
Peter Sagan,2016,Stage 5,-,-,10,-,-,-,-,2,12,
Peter Sagan,2016,Stage 6,70,-,4,-,6,-,-,-,80,
Peter Sagan,2016,Stage 7,-,-,4,-,-,-,-,-,4,
Peter Sagan,2016,Stage 8,-,-,4,-,-,-,-,-,4,
Peter Sagan,2016,Stage 9,-,-,6,-,15,-,10,2,33,
Peter Sagan,2016,Stage 10,150,-,10,-,15,-,10,-,185,
Peter Sagan,2016,Stage 11,200,-,10,-,12,-,-,2,224,
Peter Sagan,2016,Stage 12,-,-,10,-,-,-,-,-,10,
Peter Sagan,2016,Stage 13,-,-,10,-,-,-,-,-,10,
Peter Sagan,2016,Stage 14,120,-,10,-,6,-,-,-,136,
Peter Sagan,2016,Stage 15,-,-,10,-,-,-,-,4,14,
Peter Sagan,2016,Stage 16,200,-,10,-,10,-,-,-,220,
Peter Sagan,2016,Stage 17,-,-,10,-,15,-,10,2,37,
Peter Sagan,2016,Stage 18,-,-,10,-,-,-,-,-,10,
Peter Sagan,2016,Stage 19,-,-,10,-,-,-,-,-,10,
Peter Sagan,2016,Stage 20,-,-,10,-,10,-,10,-,30,
Peter Sagan,2016,Stage 21,150,-,10,-,-,-,-,-,160,
Peter Sagan,2016,Final Classifications,-,-,100,-,-,-,-,-,100,
Romain Bardet,2016,Stage 1,-,-,-,-,-,-,-,-,0,
Romain Bardet,2016,Stage 2,-,4,-,-,-,-,-,-,4,
Romain Bardet,2016,Stage 3,-,-,-,-,-,-,-,-,0,
Romain Bardet,2016,Stage 4,-,3,-,-,-,-,-,-,3,
Romain Bardet,2016,Stage 5,15,7,-,-,-,-,-,-,22,
Romain Bardet,2016,Stage 6,-,7,-,-,-,-,-,-,7,
Romain Bardet,2016,Stage 7,-,7,-,-,-,-,-,-,7,
Romain Bardet,2016,Stage 8,100,12,-,-,-,-,-,-,112,
Romain Bardet,2016,Stage 9,-,15,-,-,-,-,-,-,15,
Romain Bardet,2016,Stage 10,-,14,-,-,-,-,-,-,14,
Romain Bardet,2016,Stage 11,-,15,-,-,-,-,-,-,15,
