PlayerName,Year,Stage,STG,GC,PC,KOM,SPR,SUM,BKY,ASS,Total
Bob Jungels,2015,Stage 6,-,-,-,-,-,-,-,-,0,
Bob Jungels,2015,Stage 7,-,-,-,-,-,-,-,-,0,
Bob Jungels,2015,Stage 8,-,-,-,-,-,-,-,-,0,
Bob Jungels,2015,Stage 9,-,-,-,-,-,-,-,-,0,
Bob Jungels,2015,Stage 10,-,-,-,-,-,-,-,-,0,
Bob Jungels,2015,Stage 11,-,-,-,-,-,-,-,-,0,
Bob Jungels,2015,Stage 12,-,-,-,-,-,-,-,-,0,
Bob Jungels,2015,Stage 13,-,-,-,-,-,-,-,-,0,
Bob Jungels,2015,Stage 14,50,-,-,-,8,-,10,-,68,
Bob Jungels,2015,Stage 15,-,-,-,-,-,-,-,-,0,
Bob Jungels,2015,Stage 16,80,-,-,-,10,-,-,-,90,
Bob Jungels,2015,Stage 17,-,-,-,-,-,-,-,-,0,
Bob Jungels,2015,Stage 18,100,-,-,-,-,20,-,-,120,
Bob Jungels,2015,Stage 19,-,-,-,-,-,-,-,-,0,
Bob Jungels,2015,Stage 20,15,-,-,-,-,-,-,-,15,
Bob Jungels,2015,Stage 21,-,-,-,-,-,-,-,-,0,
Bob Jungels,2015,Final Classifications,-,20,-,-,-,-,-,-,20,
Jan Bakelants,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Jan Bakelants,2015,Stage 2,-,-,-,-,-,-,-,-,0,
Jan Bakelants,2015,Stage 3,-,-,-,-,-,-,-,2,2,
Jan Bakelants,2015,Stage 4,-,-,-,-,-,-,-,-,0,
Jan Bakelants,2015,Stage 5,-,-,-,-,-,-,-,-,0,
Jan Bakelants,2015,Stage 6,-,-,-,-,-,-,-,-,0,
Jan Bakelants,2015,Stage 7,-,-,-,-,-,-,-,-,0,
Jan Bakelants,2015,Stage 8,-,-,-,-,-,-,-,6,6,
Jan Bakelants,2015,Stage 9,-,-,-,-,-,-,-,-,0,
Jan Bakelants,2015,Stage 10,-,-,-,-,-,-,-,-,0,
Jan Bakelants,2015,Stage 11,-,-,-,-,-,-,-,-,0,
Jan Bakelants,2015,Stage 12,-,-,-,-,-,-,-,2,2,
Jan Bakelants,2015,Stage 13,120,-,-,-,-,-,-,-,120,
Jan Bakelants,2015,Stage 14,25,-,-,-,2,-,10,2,39,
Jan Bakelants,2015,Stage 15,20,-,-,-,-,-,-,-,20,
Jan Bakelants,2015,Stage 16,-,-,-,-,-,-,-,-,0,
Jan Bakelants,2015,Stage 17,25,2,-,-,-,-,-,-,27,
Jan Bakelants,2015,Stage 18,-,1,-,-,10,-,10,6,27,
Jan Bakelants,2015,Stage 19,-,1,-,-,-,-,-,-,1,
Jan Bakelants,2015,Stage 20,-,1,-,-,-,-,-,-,1,
Jan Bakelants,2015,Stage 21,-,1,-,-,-,-,-,-,1,
Jan Bakelants,2015,Final Classifications,-,55,-,-,-,-,-,-,55,
Nicolas Roche,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Nicolas Roche,2015,Stage 2,-,-,-,-,-,-,-,2,2,
Nicolas Roche,2015,Stage 3,-,-,-,-,-,-,-,12,12,
Nicolas Roche,2015,Stage 4,-,-,-,-,-,-,-,4,4,
Nicolas Roche,2015,Stage 5,-,-,-,-,-,-,-,4,4,
Nicolas Roche,2015,Stage 6,-,-,-,-,-,-,-,4,4,
Nicolas Roche,2015,Stage 7,-,-,-,-,-,-,-,6,6,
Nicolas Roche,2015,Stage 8,-,-,-,-,-,-,-,6,6,
Nicolas Roche,2015,Stage 9,40,-,-,-,-,-,-,6,46,
Nicolas Roche,2015,Stage 10,-,-,-,-,-,-,-,22,22,
Nicolas Roche,2015,Stage 11,-,-,-,-,-,-,-,12,12,
Nicolas Roche,2015,Stage 12,-,-,-,-,-,-,-,10,10,
Nicolas Roche,2015,Stage 13,-,-,-,-,-,-,-,10,10,
Nicolas Roche,2015,Stage 14,-,-,-,-,-,-,-,10,10,
Nicolas Roche,2015,Stage 15,-,-,-,-,-,-,-,10,10,
Nicolas Roche,2015,Stage 16,-,-,-,-,-,-,-,6,6,
Nicolas Roche,2015,Stage 17,60,-,-,-,-,-,-,8,68,
Nicolas Roche,2015,Stage 18,-,-,-,-,-,-,-,8,8,
Nicolas Roche,2015,Stage 19,-,-,-,-,-,-,-,8,8,
Nicolas Roche,2015,Stage 20,-,-,-,-,-,-,-,10,10,
Nicolas Roche,2015,Stage 21,-,-,-,-,-,-,-,10,10,
Nicolas Roche,2015,Final Classifications,-,-,-,-,-,-,-,30,30,
Fabian Cancellara,2015,Stage 1,120,20,4,-,-,-,-,-,144,
Fabian Cancellara,2015,Stage 2,120,25,4,-,-,-,-,-,149,
Fabian Cancellara,2015,Stage 3,-,-,2,-,-,-,-,-,2,
Fabian Cancellara,2015,Stage 4,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 5,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 6,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 7,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 8,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 9,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 10,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 11,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 12,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 13,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 14,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 15,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 16,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 17,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 18,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 19,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 20,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Stage 21,-,-,-,-,-,-,-,-,0,
Fabian Cancellara,2015,Final Classifications,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2015,Stage 2,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2015,Stage 3,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2015,Stage 4,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2015,Stage 5,10,-,-,-,-,-,-,-,10,
Jarlinson Pantano,2015,Stage 6,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2015,Stage 7,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2015,Stage 8,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2015,Stage 9,15,-,-,-,-,-,-,-,15,
Jarlinson Pantano,2015,Stage 10,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2015,Stage 11,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2015,Stage 12,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2015,Stage 13,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2015,Stage 14,20,-,-,-,5,-,10,-,35,
Jarlinson Pantano,2015,Stage 15,25,3,-,-,-,-,-,-,28,
Jarlinson Pantano,2015,Stage 16,120,5,-,-,-,-,-,-,125,
Jarlinson Pantano,2015,Stage 17,-,4,-,-,-,-,-,-,4,
Jarlinson Pantano,2015,Stage 18,-,-,-,-,-,-,-,-,0,
Jarlinson Pantano,2015,Stage 19,-,2,-,-,-,-,-,-,2,
Jarlinson Pantano,2015,Stage 20,-,2,-,-,-,-,-,-,2,
Jarlinson Pantano,2015,Stage 21,5,2,-,-,-,-,-,-,7,
Jarlinson Pantano,2015,Final Classifications,-,60,-,-,-,-,-,-,60,
Wout Poels,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Wout Poels,2015,Stage 2,-,-,-,-,-,-,-,2,2,
Wout Poels,2015,Stage 3,-,-,-,-,-,-,-,12,12,
Wout Poels,2015,Stage 4,-,-,-,-,-,-,-,4,4,
Wout Poels,2015,Stage 5,-,-,-,-,-,-,-,4,4,
Wout Poels,2015,Stage 6,-,-,-,-,-,-,-,4,4,
Wout Poels,2015,Stage 7,-,-,-,-,-,-,-,6,6,
Wout Poels,2015,Stage 8,-,-,-,-,-,-,-,6,6,
Wout Poels,2015,Stage 9,40,-,-,-,-,-,-,6,46,
Wout Poels,2015,Stage 10,-,-,-,-,-,-,-,22,22,
Wout Poels,2015,Stage 11,-,-,-,-,-,-,-,12,12,
Wout Poels,2015,Stage 12,-,-,-,-,-,-,-,10,10,
Wout Poels,2015,Stage 13,-,-,-,-,-,-,-,10,10,
Wout Poels,2015,Stage 14,-,-,-,-,-,-,-,10,10,
Wout Poels,2015,Stage 15,-,-,-,-,-,-,-,10,10,
Wout Poels,2015,Stage 16,-,-,-,-,-,-,-,6,6,
Wout Poels,2015,Stage 17,-,-,-,-,-,-,-,8,8,
Wout Poels,2015,Stage 18,-,-,-,-,-,-,-,8,8,
Wout Poels,2015,Stage 19,-,-,-,-,-,6,-,8,14,
Wout Poels,2015,Stage 20,40,-,-,-,-,-,-,10,50,
Wout Poels,2015,Stage 21,-,-,-,-,-,-,-,10,10,
Wout Poels,2015,Final Classifications,-,-,-,-,-,-,-,30,30,
Roman Kreuziger,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Roman Kreuziger,2015,Stage 2,-,5,-,-,-,-,-,4,9,
Roman Kreuziger,2015,Stage 3,-,6,-,-,2,-,-,-,8,
Roman Kreuziger,2015,Stage 4,-,6,-,-,-,-,-,4,10,
Roman Kreuziger,2015,Stage 5,-,6,-,-,-,-,-,6,12,
Roman Kreuziger,2015,Stage 6,-,6,-,-,-,-,-,6,12,
Roman Kreuziger,2015,Stage 7,-,7,-,-,-,-,-,8,15,
Roman Kreuziger,2015,Stage 8,-,7,-,-,-,-,-,8,15,
Roman Kreuziger,2015,Stage 9,25,9,-,-,-,-,-,4,38,
Roman Kreuziger,2015,Stage 10,-,3,-,-,-,-,-,-,3,
Roman Kreuziger,2015,Stage 11,-,-,-,-,-,-,-,8,8,
Roman Kreuziger,2015,Stage 12,-,-,-,-,-,-,-,2,2,
Roman Kreuziger,2015,Stage 13,-,-,-,-,-,-,-,6,6,
Roman Kreuziger,2015,Stage 14,-,-,-,-,-,-,-,2,2,
Roman Kreuziger,2015,Stage 15,-,-,-,-,-,-,-,2,2,
Roman Kreuziger,2015,Stage 16,-,-,-,-,-,-,-,6,6,
Roman Kreuziger,2015,Stage 17,-,-,-,-,-,-,-,-,0,
Roman Kreuziger,2015,Stage 18,-,2,-,-,4,-,-,-,6,
Roman Kreuziger,2015,Stage 19,-,4,-,-,-,10,-,4,18,
Roman Kreuziger,2015,Stage 20,-,4,-,-,-,-,-,2,6,
Roman Kreuziger,2015,Stage 21,-,4,-,-,-,-,-,2,6,
Roman Kreuziger,2015,Final Classifications,-,70,-,-,-,-,-,20,90,
Stephen Cummings,2015,Stage 1,30,11,-,-,-,-,-,-,41,
Stephen Cummings,2015,Stage 2,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 3,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 4,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 5,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 6,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 7,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 8,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 9,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 10,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 11,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 12,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 13,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 14,200,-,-,-,-,-,10,-,210,
Stephen Cummings,2015,Stage 15,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 16,-,-,-,-,-,-,-,4,4,
Stephen Cummings,2015,Stage 17,-,-,-,-,-,-,-,4,4,
Stephen Cummings,2015,Stage 18,-,-,-,-,-,-,-,4,4,
Stephen Cummings,2015,Stage 19,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 20,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Stage 21,-,-,-,-,-,-,-,-,0,
Stephen Cummings,2015,Final Classifications,-,-,-,-,-,-,-,5,5,
Adriano Malori,2015,Stage 1,50,13,-,-,-,-,-,-,63,
Adriano Malori,2015,Stage 2,-,-,-,-,-,-,-,-,0,
Adriano Malori,2015,Stage 3,-,-,-,-,-,-,-,-,0,
Adriano Malori,2015,Stage 4,-,-,-,-,-,-,-,-,0,
Adriano Malori,2015,Stage 5,-,-,-,-,-,-,-,-,0,
Adriano Malori,2015,Stage 6,-,-,-,-,-,-,-,-,0,
Adriano Malori,2015,Stage 7,-,-,-,-,-,-,-,-,0,
Adriano Malori,2015,Stage 8,-,-,-,-,-,-,-,2,2,
Adriano Malori,2015,Stage 9,30,-,-,-,-,-,-,-,30,
Adriano Malori,2015,Stage 10,-,-,-,-,-,-,-,6,6,
Adriano Malori,2015,Stage 11,-,-,-,-,-,-,-,6,6,
Adriano Malori,2015,Stage 12,-,-,-,-,-,-,-,8,8,
Adriano Malori,2015,Stage 13,-,-,-,-,-,-,-,8,8,
Adriano Malori,2015,Stage 14,-,-,-,-,-,-,-,10,10,
Adriano Malori,2015,Stage 15,-,-,-,-,-,-,-,10,10,
Adriano Malori,2015,Stage 16,-,-,-,-,-,-,-,10,10,
Adriano Malori,2015,Stage 17,-,-,-,-,-,-,-,12,12,
Adriano Malori,2015,Stage 18,-,-,-,-,-,-,-,14,14,
Adriano Malori,2015,Stage 19,-,-,-,-,-,-,-,16,16,
Adriano Malori,2015,Stage 20,-,-,-,-,-,-,-,16,16,
Adriano Malori,2015,Stage 21,-,-,-,-,-,-,-,12,12,
Adriano Malori,2015,Final Classifications,-,-,-,-,-,-,-,40,40,
Daniel Oss,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Daniel Oss,2015,Stage 2,80,15,-,-,-,-,-,6,101,
Daniel Oss,2015,Stage 3,-,-,-,-,-,-,-,8,8,
Daniel Oss,2015,Stage 4,-,-,-,-,-,-,-,8,8,
Daniel Oss,2015,Stage 5,-,-,-,-,-,-,-,8,8,
Daniel Oss,2015,Stage 6,-,-,-,-,-,-,-,8,8,
Daniel Oss,2015,Stage 7,-,-,-,-,-,-,-,8,8,
Daniel Oss,2015,Stage 8,-,-,-,-,-,-,-,8,8,
Daniel Oss,2015,Stage 9,50,-,-,-,-,-,-,12,62,
Daniel Oss,2015,Stage 10,-,-,-,-,-,-,-,8,8,
Daniel Oss,2015,Stage 11,-,-,-,-,-,-,-,4,4,
Daniel Oss,2015,Stage 12,-,-,-,-,-,-,-,4,4,
Daniel Oss,2015,Stage 13,-,-,-,-,-,-,-,10,10,
Daniel Oss,2015,Stage 14,-,-,-,-,-,-,-,2,2,
Daniel Oss,2015,Stage 15,-,-,-,-,-,-,-,2,2,
Daniel Oss,2015,Stage 16,-,-,-,-,-,-,-,2,2,
Daniel Oss,2015,Stage 17,-,-,-,-,-,-,-,-,0,
Daniel Oss,2015,Stage 18,-,-,-,-,-,-,-,-,0,
Daniel Oss,2015,Stage 19,-,-,-,-,-,-,-,-,0,
Daniel Oss,2015,Stage 20,-,-,-,-,-,-,-,-,0,
Daniel Oss,2015,Stage 21,-,-,-,-,-,-,-,-,0,
Daniel Oss,2015,Final Classifications,-,-,-,-,-,-,-,-,0,
Ian Stannard,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Ian Stannard,2015,Stage 2,-,1,-,-,-,-,-,2,3,
Ian Stannard,2015,Stage 3,-,-,-,-,-,-,-,12,12,
Ian Stannard,2015,Stage 4,-,-,-,-,-,-,-,4,4,
Ian Stannard,2015,Stage 5,-,-,-,-,-,-,-,4,4,
Ian Stannard,2015,Stage 6,-,-,-,-,-,-,-,4,4,
Ian Stannard,2015,Stage 7,-,-,-,-,-,-,-,6,6,
Ian Stannard,2015,Stage 8,-,-,-,-,-,-,-,6,6,
Ian Stannard,2015,Stage 9,40,-,-,-,-,-,-,6,46,
Ian Stannard,2015,Stage 10,-,-,-,-,-,-,-,22,22,
Ian Stannard,2015,Stage 11,-,-,-,-,-,-,-,12,12,
Ian Stannard,2015,Stage 12,-,-,-,-,-,-,-,10,10,
Ian Stannard,2015,Stage 13,-,-,-,-,-,-,-,10,10,
Ian Stannard,2015,Stage 14,-,-,-,-,-,-,-,10,10,
Ian Stannard,2015,Stage 15,-,-,-,-,-,-,-,10,10,
Ian Stannard,2015,Stage 16,-,-,-,-,-,-,-,6,6,
Ian Stannard,2015,Stage 17,-,-,-,-,-,-,-,8,8,
Ian Stannard,2015,Stage 18,-,-,-,-,-,-,-,8,8,
Ian Stannard,2015,Stage 19,-,-,-,-,-,-,-,8,8,
Ian Stannard,2015,Stage 20,-,-,-,-,-,-,-,10,10,
Ian Stannard,2015,Stage 21,-,-,-,-,-,-,-,10,10,
Ian Stannard,2015,Final Classifications,-,-,-,-,-,-,-,30,30,
Leopold Konig,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Leopold Konig,2015,Stage 2,-,-,-,-,-,-,-,2,2,
Leopold Konig,2015,Stage 3,-,-,-,-,-,-,-,12,12,
Leopold Konig,2015,Stage 4,-,-,-,-,-,-,-,4,4,
Leopold Konig,2015,Stage 5,-,-,-,-,-,-,-,4,4,
Leopold Konig,2015,Stage 6,-,-,-,-,-,-,-,4,4,
Leopold Konig,2015,Stage 7,-,-,-,-,-,-,-,6,6,
Leopold Konig,2015,Stage 8,-,-,-,-,-,-,-,6,6,
Leopold Konig,2015,Stage 9,40,-,-,-,-,-,-,6,46,
Leopold Konig,2015,Stage 10,-,-,-,-,-,-,-,22,22,
Leopold Konig,2015,Stage 11,-,-,-,-,-,-,-,12,12,
Leopold Konig,2015,Stage 12,-,-,-,-,-,-,-,10,10,
Leopold Konig,2015,Stage 13,-,-,-,-,-,-,-,10,10,
Leopold Konig,2015,Stage 14,-,-,-,-,-,-,-,10,10,
Leopold Konig,2015,Stage 15,-,-,-,-,-,-,-,10,10,
Leopold Konig,2015,Stage 16,-,-,-,-,-,-,-,6,6,
Leopold Konig,2015,Stage 17,-,-,-,-,-,-,-,8,8,
Leopold Konig,2015,Stage 18,-,-,-,-,-,-,-,8,8,
Leopold Konig,2015,Stage 19,-,-,-,-,-,-,-,8,8,
Leopold Konig,2015,Stage 20,-,-,-,-,-,-,-,10,10,
Leopold Konig,2015,Stage 21,-,-,-,-,-,-,-,10,10,
Leopold Konig,2015,Final Classifications,-,-,-,-,-,-,-,30,30,
Luke Rowe,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Luke Rowe,2015,Stage 2,-,-,-,-,-,-,-,2,2,
Luke Rowe,2015,Stage 3,-,-,-,-,-,-,-,12,12,
Luke Rowe,2015,Stage 4,-,-,-,-,-,-,-,4,4,
Luke Rowe,2015,Stage 5,-,-,-,-,-,-,-,4,4,
Luke Rowe,2015,Stage 6,-,-,-,-,-,-,-,4,4,
Luke Rowe,2015,Stage 7,-,-,-,-,-,-,-,6,6,
Luke Rowe,2015,Stage 8,-,-,-,-,-,-,-,6,6,
Luke Rowe,2015,Stage 9,40,-,-,-,-,-,-,6,46,
Luke Rowe,2015,Stage 10,-,-,-,-,-,-,-,22,22,
Luke Rowe,2015,Stage 11,-,-,-,-,-,-,-,12,12,
Luke Rowe,2015,Stage 12,-,-,-,-,-,-,-,10,10,
Luke Rowe,2015,Stage 13,-,-,-,-,-,-,-,10,10,
Luke Rowe,2015,Stage 14,-,-,-,-,-,-,-,10,10,
Luke Rowe,2015,Stage 15,-,-,-,-,-,-,-,10,10,
Luke Rowe,2015,Stage 16,-,-,-,-,-,-,-,6,6,
Luke Rowe,2015,Stage 17,-,-,-,-,-,-,-,8,8,
Luke Rowe,2015,Stage 18,-,-,-,-,-,-,-,8,8,
Luke Rowe,2015,Stage 19,-,-,-,-,-,-,-,8,8,
Luke Rowe,2015,Stage 20,-,-,-,-,-,-,-,10,10,
Luke Rowe,2015,Stage 21,-,-,-,-,-,-,-,10,10,
Luke Rowe,2015,Final Classifications,-,-,-,-,-,-,-,30,30,
Arnaud Demare,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 2,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 3,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 4,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 5,60,-,-,-,-,-,-,-,60,
Arnaud Demare,2015,Stage 6,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 7,70,-,-,-,-,-,-,-,70,
Arnaud Demare,2015,Stage 8,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 9,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 10,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 11,-,-,-,-,-,-,10,-,10,
Arnaud Demare,2015,Stage 12,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 13,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 14,-,-,-,-,-,-,-,4,4,
Arnaud Demare,2015,Stage 15,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 16,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 17,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 18,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 19,-,-,-,-,-,-,-,-,0,
Arnaud Demare,2015,Stage 20,-,-,-,-,-,-,-,6,6,
Arnaud Demare,2015,Stage 21,80,-,-,-,-,-,-,-,80,
Arnaud Demare,2015,Final Classifications,-,-,-,-,-,-,-,-,0,
Damiano Caruso,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Damiano Caruso,2015,Stage 2,-,-,-,-,-,-,-,6,6,
Damiano Caruso,2015,Stage 3,-,-,-,-,-,-,-,8,8,
Damiano Caruso,2015,Stage 4,-,-,-,-,-,-,-,8,8,
Damiano Caruso,2015,Stage 5,-,-,-,-,-,-,-,8,8,
Damiano Caruso,2015,Stage 6,-,-,-,-,-,-,-,8,8,
Damiano Caruso,2015,Stage 7,-,-,-,-,-,-,-,8,8,
Damiano Caruso,2015,Stage 8,-,-,-,-,-,-,-,8,8,
Damiano Caruso,2015,Stage 9,50,-,-,-,-,-,-,12,62,
Damiano Caruso,2015,Stage 10,-,-,-,-,-,-,-,8,8,
Damiano Caruso,2015,Stage 11,-,-,-,-,-,-,-,4,4,
Damiano Caruso,2015,Stage 12,-,-,-,-,-,-,-,4,4,
Damiano Caruso,2015,Stage 13,-,-,-,-,-,-,-,10,10,
Damiano Caruso,2015,Stage 14,-,-,-,-,-,-,-,2,2,
Damiano Caruso,2015,Stage 15,-,-,-,-,-,-,-,2,2,
Damiano Caruso,2015,Stage 16,-,-,-,-,-,-,-,2,2,
Damiano Caruso,2015,Stage 17,-,-,-,-,-,-,-,-,0,
Damiano Caruso,2015,Stage 18,50,-,-,-,8,4,10,-,72,
Damiano Caruso,2015,Stage 19,-,-,-,-,-,-,-,-,0,
Damiano Caruso,2015,Stage 20,-,-,-,-,-,-,-,-,0,
Damiano Caruso,2015,Stage 21,-,-,-,-,-,-,-,-,0,
Damiano Caruso,2015,Final Classifications,-,-,-,-,-,-,-,-,0,
Imanol Erviti,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Imanol Erviti,2015,Stage 2,-,-,-,-,-,-,-,-,0,
Imanol Erviti,2015,Stage 3,-,-,-,-,-,-,-,-,0,
Imanol Erviti,2015,Stage 4,-,-,-,-,-,-,-,-,0,
Imanol Erviti,2015,Stage 5,-,-,-,-,-,-,-,-,0,
Imanol Erviti,2015,Stage 6,-,-,-,-,-,-,-,-,0,
Imanol Erviti,2015,Stage 7,-,-,-,-,-,-,-,-,0,
Imanol Erviti,2015,Stage 8,-,-,-,-,-,-,-,2,2,
Imanol Erviti,2015,Stage 9,30,-,-,-,-,-,-,-,30,
Imanol Erviti,2015,Stage 10,-,-,-,-,-,-,-,6,6,
Imanol Erviti,2015,Stage 11,-,-,-,-,-,-,-,6,6,
Imanol Erviti,2015,Stage 12,-,-,-,-,-,-,-,8,8,
Imanol Erviti,2015,Stage 13,-,-,-,-,-,-,-,8,8,
Imanol Erviti,2015,Stage 14,-,-,-,-,-,-,-,10,10,
Imanol Erviti,2015,Stage 15,-,-,-,-,-,-,-,10,10,
Imanol Erviti,2015,Stage 16,5,-,-,-,-,-,-,10,15,
Imanol Erviti,2015,Stage 17,-,-,-,-,-,-,-,12,12,
Imanol Erviti,2015,Stage 18,-,-,-,-,-,-,-,14,14,
Imanol Erviti,2015,Stage 19,-,-,-,-,-,-,-,16,16,
Imanol Erviti,2015,Stage 20,-,-,-,-,-,-,-,16,16,
Imanol Erviti,2015,Stage 21,-,-,-,-,-,-,-,12,12,
Imanol Erviti,2015,Final Classifications,-,-,-,-,-,-,-,40,40,
Jose Herrada,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Jose Herrada,2015,Stage 2,-,-,-,-,-,-,-,-,0,
Jose Herrada,2015,Stage 3,-,-,-,-,-,-,-,-,0,
Jose Herrada,2015,Stage 4,-,-,-,-,-,-,-,-,0,
Jose Herrada,2015,Stage 5,-,-,-,-,-,-,-,-,0,
Jose Herrada,2015,Stage 6,-,-,-,-,-,-,-,-,0,
Jose Herrada,2015,Stage 7,-,-,-,-,-,-,-,-,0,
Jose Herrada,2015,Stage 8,-,-,-,-,-,-,-,2,2,
Jose Herrada,2015,Stage 9,30,-,-,-,-,-,-,-,30,
Jose Herrada,2015,Stage 10,-,-,-,-,-,-,-,6,6,
Jose Herrada,2015,Stage 11,-,-,-,-,-,-,-,6,6,
Jose Herrada,2015,Stage 12,-,-,-,-,-,-,-,8,8,
Jose Herrada,2015,Stage 13,-,-,-,-,-,-,-,8,8,
Jose Herrada,2015,Stage 14,-,-,-,-,-,-,-,10,10,
Jose Herrada,2015,Stage 15,-,-,-,-,-,-,-,10,10,
Jose Herrada,2015,Stage 16,-,-,-,-,-,-,-,10,10,
Jose Herrada,2015,Stage 17,-,-,-,-,-,-,-,12,12,
Jose Herrada,2015,Stage 18,-,-,-,-,-,-,-,14,14,
Jose Herrada,2015,Stage 19,-,-,-,-,-,-,-,16,16,
Jose Herrada,2015,Stage 20,-,-,-,-,-,-,-,16,16,
Jose Herrada,2015,Stage 21,-,-,-,-,-,-,-,12,12,
Jose Herrada,2015,Final Classifications,-,-,-,-,-,-,-,40,40,
Tom Dumoulin,2015,Stage 1,100,18,3,-,-,-,-,-,121,
Tom Dumoulin,2015,Stage 2,50,20,1,-,-,-,-,-,71,
Tom Dumoulin,2015,Stage 3,-,-,-,-,-,-,-,-,0,
Tom Dumoulin,2015,Stage 4,-,-,-,-,-,-,-,-,0,
Tom Dumoulin,2015,Stage 5,-,-,-,-,-,-,-,-,0,
Tom Dumoulin,2015,Stage 6,-,-,-,-,-,-,-,-,0,
Tom Dumoulin,2015,Stage 7,-,-,-,-,-,-,-,-,0,
Tom Dumoulin,2015,Stage 8,-,-,-,-,-,-,-,-,0,
Tom Dumoulin,2015,Stage 9,-,-,-,-,-,-,-,-,0,
Tom Dumoulin,2015,Stage 10,-,-,-,-,-,-,-,-,0,
