PlayerName,Year,Stage,STG,GC,PC,KOM,SPR,SUM,BKY,ASS,Total
Alejandro Valverde,2015,Stage 20,100,20,-,-,-,21,-,14,155,
Alejandro Valverde,2015,Stage 21,-,20,-,-,-,-,-,10,30,
Alejandro Valverde,2015,Final Classifications,-,350,15,20,-,-,-,40,425,
Andre Greipel,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Andre Greipel,2015,Stage 2,200,8,10,-,-,-,-,-,218,
Andre Greipel,2015,Stage 3,-,-,10,-,15,-,-,-,25,
Andre Greipel,2015,Stage 4,-,-,10,-,4,-,-,-,14,
Andre Greipel,2015,Stage 5,200,-,10,-,12,-,-,-,222,
Andre Greipel,2015,Stage 6,-,-,10,-,5,-,-,-,15,
Andre Greipel,2015,Stage 7,150,-,10,-,3,-,-,-,163,
Andre Greipel,2015,Stage 8,-,-,6,-,6,-,-,-,12,
Andre Greipel,2015,Stage 9,-,-,6,-,-,-,-,-,6,
Andre Greipel,2015,Stage 10,-,-,10,-,10,-,-,-,20,
Andre Greipel,2015,Stage 11,-,-,6,-,2,-,-,-,8,
Andre Greipel,2015,Stage 12,-,-,6,-,15,-,-,-,21,
Andre Greipel,2015,Stage 13,-,-,6,-,4,-,-,-,10,
Andre Greipel,2015,Stage 14,-,-,6,-,-,-,-,-,6,
Andre Greipel,2015,Stage 15,200,-,6,-,-,-,-,-,206,
Andre Greipel,2015,Stage 16,-,-,6,-,-,-,-,-,6,
Andre Greipel,2015,Stage 17,-,-,6,-,-,-,-,-,6,
Andre Greipel,2015,Stage 18,-,-,6,-,-,-,-,-,6,
Andre Greipel,2015,Stage 19,-,-,6,-,-,-,-,-,6,
Andre Greipel,2015,Stage 20,-,-,6,-,-,-,-,-,6,
Andre Greipel,2015,Stage 21,200,-,6,-,-,-,-,-,206,
Andre Greipel,2015,Final Classifications,-,-,80,-,-,-,-,-,80,
Romain Bardet,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Romain Bardet,2015,Stage 2,-,-,-,-,-,-,-,-,0,
Romain Bardet,2015,Stage 3,-,-,-,-,-,-,-,2,2,
Romain Bardet,2015,Stage 4,-,-,-,-,-,-,-,-,0,
Romain Bardet,2015,Stage 5,-,-,-,-,-,-,-,-,0,
Romain Bardet,2015,Stage 6,-,-,-,-,-,-,-,-,0,
Romain Bardet,2015,Stage 7,-,1,-,-,-,-,-,-,1,
Romain Bardet,2015,Stage 8,-,1,-,-,-,-,-,6,7,
Romain Bardet,2015,Stage 9,-,-,-,-,-,-,-,-,0,
Romain Bardet,2015,Stage 10,-,-,-,-,-,-,-,-,0,
Romain Bardet,2015,Stage 11,-,1,-,-,-,-,-,-,1,
Romain Bardet,2015,Stage 12,120,4,-,2,-,22,10,-,158,
Romain Bardet,2015,Stage 13,-,6,-,2,-,-,-,2,10,
Romain Bardet,2015,Stage 14,120,9,-,2,-,-,10,-,141,
Romain Bardet,2015,Stage 15,-,9,-,2,-,-,-,-,11,
Romain Bardet,2015,Stage 16,-,9,-,2,-,-,-,-,11,
Romain Bardet,2015,Stage 17,-,10,-,1,-,-,-,-,11,
Romain Bardet,2015,Stage 18,200,11,-,6,-,30,-,-,247,
Romain Bardet,2015,Stage 19,80,12,-,10,1,22,-,-,125,
Romain Bardet,2015,Stage 20,-,12,-,4,-,-,-,-,16,
Romain Bardet,2015,Stage 21,-,12,-,4,-,-,-,-,16,
Romain Bardet,2015,Final Classifications,-,160,-,60,-,-,-,-,220,
John Degenkolb,2015,Stage 1,-,-,-,-,-,-,-,-,0,
John Degenkolb,2015,Stage 2,-,-,-,-,6,-,-,2,8,
John Degenkolb,2015,Stage 3,-,-,-,-,12,-,-,-,12,
John Degenkolb,2015,Stage 4,150,-,4,-,2,-,-,-,156,
John Degenkolb,2015,Stage 5,70,-,4,-,10,-,-,-,84,
John Degenkolb,2015,Stage 6,100,-,4,-,8,-,-,-,112,
John Degenkolb,2015,Stage 7,100,-,3,-,5,-,-,-,108,
John Degenkolb,2015,Stage 8,-,-,3,-,5,-,-,-,8,
John Degenkolb,2015,Stage 9,-,-,3,-,-,-,-,-,3,
John Degenkolb,2015,Stage 10,-,-,3,-,6,-,-,-,9,
John Degenkolb,2015,Stage 11,-,-,4,-,10,-,-,-,14,
John Degenkolb,2015,Stage 12,-,-,4,-,12,-,-,-,16,
John Degenkolb,2015,Stage 13,100,-,4,-,3,-,-,-,107,
John Degenkolb,2015,Stage 14,-,-,4,-,-,-,-,-,4,
John Degenkolb,2015,Stage 15,150,-,4,-,1,-,-,-,155,
John Degenkolb,2015,Stage 16,-,-,4,-,-,-,-,-,4,
John Degenkolb,2015,Stage 17,-,-,4,-,12,-,-,6,22,
John Degenkolb,2015,Stage 18,-,-,4,-,-,-,-,-,4,
John Degenkolb,2015,Stage 19,-,-,4,-,-,-,-,-,4,
John Degenkolb,2015,Stage 20,-,-,4,-,-,-,-,-,4,
John Degenkolb,2015,Stage 21,50,-,4,-,2,-,-,-,56,
John Degenkolb,2015,Final Classifications,-,-,60,-,-,-,-,-,60,
Vincenzo Nibali,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Vincenzo Nibali,2015,Stage 2,-,-,-,-,-,-,-,-,0,
Vincenzo Nibali,2015,Stage 3,60,8,-,-,-,-,-,-,68,
